NR,DAGS,ST,LENGD,TYNGD,ALD,KYN,KTR,FYLL,HOR,CHIP,CHIL,DAPH,LYM,EU,PIS,TRI,SimL,Lep,col,Blóðsuga,Ógr,ANN,SCHITSO,NET_MÖSK,ATH,K,,
84,2020-08-27,9,32.5,448,3,2,2,4,100,,,,,,,,,,,,,,,30,,1.31,,0
85,2020-08-27,9,29.2,250,2,2,2,0,,,,,,,,,,,,,,,,30,,1,,0
86,2020-08-27,9,27.2,212,2,1,2,2,,,,100,,,,,,,,,,,,30,,1.05,,0
87,2020-08-27,9,29.6,301,2,2,2,2,100,,,,,,,,,,,,,,,35,,1.16,,0
88,2020-08-27,9,35.2,474,3,2,2,5,100,,,,,,,,,,,,,,,35,,1.09,,0
89,2020-08-27,9,40,839,4,1,2,4,100,,,,,,,,,,,,,,,35,,1.31,,0
90,2020-08-27,9,18.5,68,2,2,2,0,,,,,,,,,,,,,,,,21.5,,1.07,,0
91,2020-08-27,9,37,557,4,1,2,0,,,,,,,,,,,,,,,,40,,1.1,,0
93,2020-08-27,2,40.5,715,4,1,2,0,,,,,,,,,,,,,,,,46,,1.08,,0
95,2020-08-27,1,20.2,81,1,1,1,3,100,,,,,,,,,,,,,,,21.5,,0.98,,0
96,2020-08-27,1,21.6,91,2,1,2,3,,,,,,100,,,,,,,,,,21.5,,0.9,,0
97,2020-08-27,10,17.2,44,1,1,1,2,,,,100,,,,,,,,,,,,16.5,,0.86,,0
98,2020-08-27,9,43.5,927,5,1,2,4,100,,,,,,,,,,,,,,,35,,1.13,,0
99,2020-08-27,9,37.2,710,4,2,2,0,,,,,,,,,,,,,,,,35,,1.38,,0
100,2020-08-27,9,39.2,679,4,2,2,0,,,,,,,,,,,,,,,,35,,1.13,,0
101,2020-08-27,9,48.5,1413,5,2,5,4,100,,,,,,,,,,,,,,,35,,1.24,,0
102,2020-08-27,9,50.5,1349,6,1,10,3,100,,,,,,,,,,,,,,,35,,1.05,,0
103,2020-08-27,9,51.7,1751,6,1,12,4,100,,,,,,,,,,,,,,,35,,1.27,,0
104,2020-08-28,5,16.5,39,3,1,1,3,100,,,,,,,,,,,,,,,16.5,PKD sýni ,0.87,,0
105,2020-08-28,5,14.8,32,1,1,1,1,100,,,,,,,,,,,,,,,16.5,PKD sýni ,0.99,,0
106,2020-08-28,5,15.1,36,1,2,1,2,100,,,,,,,,,,,,,,,16.5,PKD sýni ,1.05,,0
107,2020-08-28,5,33.3,499,3,1,2,5,100,,,,,,,,,,,,,,,40,,1.35,,0
108,2020-08-28,5,33,439,3,1,2,3,100,,,,,,,,,,,,,,,40,,1.22,,0
109,2020-08-28,5,19,63,2,1,1,4,100,,,,,,,,,,,,,,,18.5,PKD sýni ,0.92,,0
111,2020-08-28,5,57,1768,7,1,12,3,100,,,,,,,,,,,,,,,18.5,,0.95,,0
112,2020-08-28,5,36.4,631,3,1,2,2,100,,,,,,,,,,,,,,,30,,1.31,,0
113,2020-08-28,5,37.6,658,4,1,2,0,,,,,,,,,,,,,,,,30,,1.24,,0
114,2020-08-28,5,49,1698,6,1,4,4,100,,,,,,,,,,,,,,,30,,1.44,,0
115,2020-08-28,5,58,2192,7,1,11,0,,,,,,,,,,,,,,,,30,,1.12,,0
116,2020-08-28,5,33.5,462,3,1,2,1,100,,,,,,,,,,,,,,,35,,1.23,,0
117,2020-08-28,5,33.3,413,3,1,2,3,100,,,,,,,,,,,,,,,35,,1.12,,0
120,2020-08-28,5,37.5,593,4,2,3,0,,,,,,,,,,,,,,,,35,,1.12,,0
121,2020-08-28,5,38.2,687,4,2,2,2,100,,,,,,,,,,,,,,,46,,1.23,,0
122,2020-08-28,5,47,1300,5,1,11,5,100,,,,,,,,,,,,,,,46,,1.25,,0
123,2020-08-28,4,18,47,1,2,1,0,,,,,,,,,,,,,,,,16.5,,0.81,,0
124,2020-08-28,4,17.9,49,2,1,1,0,,,,,,,,,,,,,,,,16.5,,0.85,,0
125,2020-08-28,4,17.5,46,2,2,1,0,,,,,,,,,,,,,,,,16.5,,0.86,,0
126,2020-08-28,4,29.8,262,2,1,2,0,,,,,,,,,,,,,,,,25,,0.99,,0
127,2020-08-28,4,29.8,311,2,2,2,2,100,,,,,,,,,,,,,,,25,,1.18,,0
128,2020-08-28,4,22.2,114,2,2,1,0,,,,,,,,,,,,,,,,25,,1.04,,0
130,2020-08-28,4,29.2,278,2,1,2,0,,,,,,,,,,,,,,,,30,,1.12,,0
131,2020-08-28,4,25.6,193,2,1,2,2,100,,,,,,,,,,,,,,,30,,1.15,,0
132,2020-08-28,4,41,851,4,1,2,4,,,,,,,,,,,,,,,,30,,1.23,,0
133,2020-08-28,4,52,1905,5,1,11,4,100,,,,,,,,,,,,,,,30,,1.35,,0
134,2020-08-28,4,25.2,153,3,2,9,0,,,,,,,,,,,,,,,,18.5,Krús,0.96,,0
135,2020-08-28,4,45,1013,5,2,5,0,,,,,,,,,,,,,,,,50,,1.11,,0
136,2020-08-28,4,48,1585,5,1,3,4,100,,,,,,,,,,,,,,,46,,1.43,,0
137,2020-08-28,6,16,36,2,1,1,3,100,,,,,,,,,,,,,,,16.5,,0.88,,0
144,2020-08-28,6,22,118,2,2,2,0,,,,,,,,,,,,,,,,25,,1.11,,0
145,2020-08-28,6,26.6,201,3,2,10,0,,,,,,,,,,,,,,,,25,,1.07,,0
146,2020-08-28,6,29.9,289,2,2,2,2,,,,100,,,,,,,,,,,,25,,1.08,,0
147,2020-08-28,6,29.7,297,3,1,2,0,,,,,,,,,,,,,,,,25,,1.13,,0
151,2020-08-28,6,54,1971,7,1,11,3,,,,,100,,,,,,,,,,,40,,1.25,,0
152,2020-08-28,6,42,791,4,2,5,0,,,,,,,,,,,,,,,,35,,1.07,,0
153,2020-08-28,6,53,1555,6,1,4,0,,,,,,,,,,,,,,,,35,,1.04,,0
154,2020-08-28,6,45.2,1073,5,2,5,0,,,,,,,,,,,,,,,,35,,1.16,,0
155,2020-08-28,6,53.5,1956,7,2,11,4,,,,,,,,,,,,,,,,35,,1.28,,0
156,2020-08-28,6,39.8,713,4,1,3,0,,,,,,,,,,,,,,,,46,,1.13,,0
158,2020-08-28,4,20.5,81,2,2,2,2,,,,100,,,,,,,,,,,,21.5,,0.94,,0
159,2020-08-28,4,19.5,81,1,1,1,5,100,,,,,,,,,,,,,,,21.5,,1.09,,0
160,2020-08-28,4,23,151,2,2,6,0,,,,,,,,,,,,,,,,21.5,,1.24,,0
162,2020-08-28,4,18,61,1,2,1,0,,,,,,,,,,,,,,,,21.5,,1.05,,0
163,2020-08-28,4,19.9,80,1,1,1,2,100,,,,,,,,,,,,,,,21.5,,1.02,,0
164,2020-08-28,4,17.4,54,1,2,1,4,100,,,,,,,,,,,,,,,21.5,,1.03,,0
165,2020-08-28,4,17,46,1,1,1,2,,,,100,,,,,,,,,,,,21.5,,0.94,,0
166,2020-08-28,4,17,47,1,1,1,0,,,,,,,,,,,,,,,,21.5,,0.96,,0
168,2020-08-28,4,54,2170,6,1,4,3,100,,,,,,,,,,,,,,,21.5,,1.38,,0
169,2020-08-28,4,31.2,326,3,1,2,2,100,,,,,,,,,,,,,,,30,,1.07,,0
170,2020-08-28,4,29.5,289,3,1,1,0,,,,,,,,,,,,,,,,30,,1.13,,0
171,2020-08-28,4,35.2,466,3,2,2,4,100,,,,,,,,,,,,,,,35,,1.07,,0
172,2020-08-28,4,38.7,693,4,2,3,0,,,,,,,,,,,,,,,,35,,1.2,,0
173,2020-08-28,4,28,257,3,2,1,2,100,,,,,,,,,,,,,,,35,,1.17,,0
174,2020-08-28,4,44,1079,5,2,5,2,100,,,,,,,,,,,,,,,50,,1.27,,0
175,2020-08-28,4,45.5,1147,6,1,4,0,,,,,,,,,,,,,,,,50,,1.22,,0
176,2020-08-28,4,43.5,916,5,2,4,3,,,,,100,,,,,,,,,,,46,,1.11,,0
177,2020-08-28,4,41.5,903,4,1,3,4,100,,,,,,,,,,,,,,,46,,1.26,,0
179,2020-08-30,11,24,126,2,2,2,2,,100,,,,,,,,,,,,,,,PKD sýni ,0.91,,0
180,2020-08-30,11,24.5,132,2,1,1,4,100,,,,,,,,,,,,,,,,,0.9,,0
181,2020-08-30,11,21.7,99,2,2,2,4,100,,,,,,,,,,,,,,,,,0.97,,0
182,2020-08-30,11,22.5,120,2,1,1,4,100,,,,,,,,,,,,,,,,PKD sýni ,1.05,,0
183,2020-08-30,11,27.5,233,3,2,2,5,100,,,,,,,,,,,,,,,,,1.12,,0
184,2020-08-30,11,26.3,179,2,2,2,5,100,,,,,,,,,,,,,,,,,0.98,,0
185,2020-08-30,11,28.6,244,3,1,1,5,100,,,,,,,,,,,,,,,,,1.04,,0
186,2020-08-30,11,31,346,3,1,2,5,100,,,,,,,,,,,,,,,,,1.16,,0
187,2020-08-30,11,34.1,447,3,2,2,4,100,,,,,,,,,,,,,,,,,1.13,,0
188,2020-08-30,11,26.8,266,2,1,5,0,,,,,,,,,,,,,,,,,,1.38,,0
189,2020-08-30,11,28.8,303,3,2,2,3,100,,,,,,,,,,,,,,,,PKD sýni ,1.27,,0
190,2020-08-30,11,31.9,373,3,2,2,3,100,,,,,,,,,,,,,,,,,1.15,,0
191,2020-08-30,11,38,635,5,2,2,4,100,,,,,,,,,,,,,,,,,1.16,,0
192,2020-08-30,11,27.5,222,2,1,2,4,100,,,,,,,,,,,,,,,,,1.07,,0
193,2020-08-30,11,31,345,3,2,2,4,100,,,,,,,,,,,,,,,,,1.16,,0
194,2020-08-30,11,38.5,684,4,2,5,3,90,,,,10,,,,,,,,,,,,,1.2,,0
195,2020-08-30,11,25,143,2,1,1,0,,,,,,,,,,,,,,,,,,0.92,,0
196,2020-08-30,11,40.5,804,4,1,2,5,,,,,100,,,,,,,,,,,,,1.21,,0
197,2020-08-30,11,43,970,4,1,2,0,,,,,,,,,,,,,,,,,,1.22,,0
198,2020-08-30,11,38.6,827,4,1,2,2,100,,,,,,,,,,,,,,,,,1.44,,0
199,2020-08-30,11,44,946,5,2,2,4,100,,,,,,,,,,,,,,,,,1.11,,0
207,2020-08-30,12,21.7,90,2,2,2,1,,,,,,,,,,,,,100,,,,,0.88,,100
208,2020-08-30,12,20.5,86,2,1,1,1,,100,,,,,,,,,,,,,,,,1,,0
209,2020-08-30,12,25.3,153,2,1,2,2,,,,,100,,,,,,,,,,,,,0.94,,0
210,2020-08-30,12,38,648,4,2,4,2,,,,,100,,,,,,,,,,,,,1.18,,0
211,2020-08-30,12,36,556,4,2,2,0,,,,,,,,,,,,,,,,,,1.19,,0
212,2020-08-30,12,50.3,1230,5,1,11,3,,,,,100,,,,,,,,,,,,,0.97,,0
213,2020-08-30,12,30.5,338,4,1,5,3,,,,,100,,,,,,,,,,,,,1.19,,0
214,2020-08-30,12,35.2,464,3,2,5,2,,,,,100,,,,,,,,,,,,,1.06,,0
215,2020-08-30,12,40.5,760,4,1,2,5,,,,,100,,,,,,,,,,,,,1.14,,0
216,2020-08-30,12,42.6,940,5,1,2,4,,,,,100,,,,,,,,,,,,,1.22,,0
217,2020-08-30,12,46.4,1182,5,1,4,0,,,,,,,,,,,,,,,,,,1.18,,0
218,2020-08-30,12,20,74,2,1,1,2,100,,,,,,,,,,,,,,,,,0.93,,0
219,2020-08-30,12,33,371,3,1,2,0,,,,,,,,,,,,,,,,,,1.03,,0
222,2020-08-30,12,23.2,120,2,,,1,,,,,,,,,,,,,100,,,,,0.96,,100
225,2020-08-27,3,30.5,312,2,,,,,,,,,,,,,,,,,,,30,,1.1,,0
228,2020-08-27,3,27.3,226,2,,,,,,,,,,,,,,,,,,,30,,1.11,,0
231,2020-08-27,3,29,269,2,,,,,,,,,,,,,,,,,,,30,,1.1,,0
234,2020-08-27,3,28.1,257,2,,,,,,,,,,,,,,,,,,,30,,1.16,,0
237,2020-08-27,3,27.8,233,3,,,,,,,,,,,,,,,,,,,30,,1.08,,0
240,2020-08-27,3,27.5,225,3,,,,,,,,,,,,,,,,,,,30,,1.08,,0
243,2020-08-27,3,29.2,268,2,,,,,,,,,,,,,,,,,,,30,,1.08,,0
246,2020-08-27,3,28.5,267,3,,,,,,,,,,,,,,,,,,,30,,1.15,,0
249,2020-08-27,3,28,242,2,,,,,,,,,,,,,,,,,,,30,,1.1,,0
252,2020-08-27,3,30.4,309,2,,,,,,,,,,,,,,,,,,,30,,1.1,,0
255,2020-08-27,3,31.5,368,3,,,,,,,,,,,,,,,,,,,35,,1.18,,0
258,2020-08-27,3,31.5,338,3,,,,,,,,,,,,,,,,,,,35,,1.08,,0
261,2020-08-27,3,30,329,2,,,,,,,,,,,,,,,,,,,35,,1.22,,0
264,2020-08-27,3,28.3,267,2,,,,,,,,,,,,,,,,,,,35,,1.18,,0
267,2020-08-27,3,29.7,327,3,,,,,,,,,,,,,,,,,,,35,,1.25,,0
270,2020-08-27,3,30,342,2,,,,,,,,,,,,,,,,,,,35,,1.27,,0
273,2020-08-27,3,30.6,338,2,,,,,,,,,,,,,,,,,,,35,,1.18,,0
276,2020-08-27,3,28.5,251,3,,,,,,,,,,,,,,,,,,,25,,1.08,,0
279,2020-08-27,3,31.5,361,3,,,,,,,,,,,,,,,,,,,25,,1.15,,0
282,2020-08-27,3,31,358,3,,,,,,,,,,,,,,,,,,,25,,1.2,,0
285,2020-08-27,3,26.5,191,2,,,,,,,,,,,,,,,,,,,25,,1.03,,0
288,2020-08-27,3,26.6,205,2,,,,,,,,,,,,,,,,,,,25,,1.09,,0
291,2020-08-27,1,17.5,52,1,,,,,,,,,,,,,,,,,,,18.5,,0.97,,0
294,2020-08-27,1,16.7,49,1,,,,,,,,,,,,,,,,,,,18.5,,1.05,,0
297,2020-08-27,1,17.3,50,1,,,,,,,,,,,,,,,,,,,18.5,,0.97,,0
300,2020-08-27,1,19.7,68,2,,,,,,,,,,,,,,,,,,,18.5,,0.89,,0
303,2020-08-27,1,18.5,66,1,,,,,,,,,,,,,,,,,,,18.5,,1.04,,0
306,2020-08-27,1,18.5,60,1,,,,,,,,,,,,,,,,,,,18.5,,0.95,,0
309,2020-08-27,1,17.2,55,1,,,,,,,,,,,,,,,,,,,18.5,,1.08,,0
312,2020-08-27,1,17,50,1,,,,,,,,,,,,,,,,,,,18.5,,1.02,,0
315,2020-08-27,1,27,220,2,,,,,,,,,,,,,,,,,,,30,,1.12,,0
318,2020-08-27,1,30.5,303,2,,,,,,,,,,,,,,,,,,,30,,1.07,,0
321,2020-08-27,1,32,389,3,,,,,,,,,,,,,,,,,,,30,,1.19,,0
324,2020-08-27,1,28,242,2,,,,,,,,,,,,,,,,,,,30,,1.1,,0
327,2020-08-27,1,29.6,297,3,,,,,,,,,,,,,,,,,,,30,,1.15,,0
330,2020-08-27,1,28,261,2,,,,,,,,,,,,,,,,,,,30,,1.19,,0
333,2020-08-27,1,29.5,280,2,,,,,,,,,,,,,,,,,,,30,,1.09,,0
336,2020-08-27,1,34,434,3,,,,,,,,,,,,,,,,,,,30,,1.1,,0
339,2020-08-27,1,29.3,284,2,,,,,,,,,,,,,,,,,,,30,,1.13,,0
342,2020-08-27,9,31.2,383,3,,,,,,,,,,,,,,,,,,,35,,1.26,,0
345,2020-08-27,9,33.3,413,3,,,,,,,,,,,,,,,,,,,35,,1.12,,0
348,2020-08-27,9,32,369,3,,,,,,,,,,,,,,,,,,,35,,1.13,,0
351,2020-08-27,9,32.8,378,3,,,,,,,,,,,,,,,,,,,40,,1.07,,0
354,2020-08-27,9,34.6,461,3,,,,,,,,,,,,,,,,,,,40,,1.11,,0
357,2020-08-27,9,29.2,308,2,,,,,,,,,,,,,,,,,,,18.5,,1.24,,0
360,2020-08-27,9,33.1,513,3,,,,,,,,,,,,,,,,,,,46,,1.41,,0
363,2020-08-27,1,28,223,2,,,,,,,,,,,,,,,,,,,21.5,,1.02,,0
366,2020-08-27,1,21.5,97,2,,,,,,,,,,,,,,,,,,,21.5,,0.98,,0
369,2020-08-27,1,20.5,82,2,,,,,,,,,,,,,,,,,,,21.5,,0.95,,0
372,2020-08-27,1,18,59,1,,,,,,,,,,,,,,,,,,,21.5,,1.01,,0
375,2020-08-27,1,30.2,329,2,,,,,,,,,,,,,,,,,,,35,,1.19,,0
378,2020-08-27,1,29,248,2,,,,,,,,,,,,,,,,,,,35,,1.02,,0
381,2020-08-27,1,29.6,325,3,,,,,,,,,,,,,,,,,,,35,,1.25,,0
384,2020-08-27,1,34.1,403,3,,,,,,,,,,,,,,,,,,,25,,1.02,,0
387,2020-08-27,1,24,145,2,,,,,,,,,,,,,,,,,,,25,,1.05,,0
390,2020-08-27,1,22.6,133,2,,,,,,,,,,,,,,,,,,,25,,1.15,,0
393,2020-08-27,1,22.8,124,2,,,,,,,,,,,,,,,,,,,25,,1.05,,0
396,2020-08-27,1,24.5,143,2,,,,,,,,,,,,,,,,,,,25,,0.97,,0
399,2020-08-27,1,39,802,4,,,,,,,,,,,,,,,,,,,50,,1.35,,0
402,2020-08-27,1,30.6,322,2,,,,,,,,,,,,,,,,,,,25,,1.12,,0
405,2020-08-27,2,15.5,39,1,,,,,,,,,,,,,,,,,,,16.5,,1.05,,0
408,2020-08-27,1,33.8,435,3,,,,,,,,,,,,,,,,,,,46,,1.13,,0
411,2020-08-27,1,33,431,3,,,,,,,,,,,,,,,,,,,46,,1.2,,0
414,2020-08-27,1,15.7,40,1,,,,,,,,,,,,,,,,,,,16.5,,1.03,,0
417,2020-08-27,1,15,35,1,,,,,,,,,,,,,,,,,,,16.5,,1.04,,0
420,2020-08-27,1,15.5,34,1,,,,,,,,,,,,,,,,,,,16.5,,0.91,,0
423,2020-08-27,2,31.7,338,3,,,,,,,,,,,,,,,,,,,35,,1.06,,0
426,2020-08-27,2,29,272,2,,,,,,,,,,,,,,,,,,,35,,1.12,,0
429,2020-08-27,2,32.7,441,3,,,,,,,,,,,,,,,,,,,35,,1.26,,0
432,2020-08-27,2,31,333,3,,,,,,,,,,,,,,,,,,,35,,1.12,,0
435,2020-08-27,2,31.4,345,3,,,,,,,,,,,,,,,,,,,35,,1.11,,0
438,2020-08-27,2,28.5,258,3,,,,,,,,,,,,,,,,,,,35,,1.11,,0
441,2020-08-27,2,28,215,2,,,,,,,,,,,,,,,,,,,35,,0.98,,0
444,2020-08-27,2,40.5,752,4,,,,,,,,,,,,,,,,,,,50,,1.13,,0
447,2020-08-27,2,43.5,963,5,,,,,,,,,,,,,,,,,,,50,,1.17,,0
450,2020-08-28,5,26,203,2,,,,,,,,,,,,,,,,,,,30,,1.15,,0
453,2020-08-28,5,29.5,300,2,,,,,,,,,,,,,,,,,,,30,,1.17,,0
456,2020-08-28,5,28,263,2,,,,,,,,,,,,,,,,,,,30,,1.2,,0
459,2020-08-28,5,31.4,356,3,,,,,,,,,,,,,,,,,,,30,,1.15,,0
462,2020-08-28,5,29,315,2,,,,,,,,,,,,,,,,,,,35,,1.29,,0
465,2020-08-28,5,37.5,619,4,,,,,,,,,,,,,,,,,,,35,,1.17,,0
468,2020-08-28,5,25.3,157,2,,,,,,,,,,,,,,,,,,,21.5,,0.97,,0
471,2020-08-28,5,19.7,71,2,,,,,,,,,,,,,,,,,,,21.5,,0.93,,0
474,2020-08-28,5,29.2,325,2,,,,,,,,,,,,,,,,,,,25,,1.31,,0
477,2020-08-28,5,23.7,144,2,,,,,,,,,,,,,,,,,,,25,,1.08,,0
480,2020-08-28,4,16.2,37,1,,,,,,,,,,,,,,,,,,,16.5,,0.87,,0
483,2020-08-28,4,16,37,1,,,,,,,,,,,,,,,,,,,16.5,,0.9,,0
486,2020-08-28,4,17.9,43,1,,,,,,,,,,,,,,,,,,,16.5,,0.75,,0
489,2020-08-28,4,28.2,230,2,,,,,,,,,,,,,,,,,,,30,,1.03,,0
492,2020-08-28,4,28,232,2,,,,,,,,,,,,,,,,,,,30,,1.06,,0
495,2020-08-28,4,26.6,200,2,,,,,,,,,,,,,,,,,,,30,,1.06,,0
498,2020-08-28,4,29,294,2,,,,,,,,,,,,,,,,,,,35,,1.21,,0
501,2020-08-28,4,30,315,2,,,,,,,,,,,,,,,,,,,35,,1.17,,0
504,2020-08-28,4,31.2,363,3,,,,,,,,,,,,,,,,,,,35,,1.2,,0
507,2020-08-28,4,20.2,69,2,,,,,,,,,,,,,,,,,,,18.5,,0.84,,0
510,2020-08-28,4,21.5,84,2,,,,,,,,,,,,,,,,,,,18.5,,0.85,,0
513,2020-08-28,4,16.6,48,1,,,,,,,,,,,,,,,,,,,18.5,,1.06,,0
516,2020-08-28,4,19,62,2,,,,,,,,,,,,,,,,,,,18.5,,0.9,,0
519,2020-08-28,4,21.2,83,2,,,,,,,,,,,,,,,,,,,21.5,,0.87,,0
522,2020-08-28,4,21.2,83,2,,,,,,,,,,,,,,,,,,,21.5,,0.87,,0
525,2020-08-28,4,34,459,3,,,,,,,,,,,,,,,,,,,40,,1.17,,0
528,2020-08-28,6,26.6,210,2,,,,,,,,,,,,,,,,,,,25,,1.12,,0
531,2020-08-28,6,28.6,277,3,,,,,,,,,,,,,,,,,,,25,,1.18,,0
534,2020-08-28,6,18.6,68,1,,,,,,,,,,,,,,,,,,,21.5,,1.06,,0
537,2020-08-28,6,19,68,2,,,,,,,,,,,,,,,,,,,21.5,,0.99,,0
540,2020-08-28,6,18.9,59,1,,,,,,,,,,,,,,,,,,,18.5,,0.87,,0
543,2020-08-28,6,19.2,56,2,,,,,,,,,,,,,,,,,,,18.5,,0.79,,0
546,2020-08-28,6,53.5,1945,6,,,,,,,,,,,,,,,,,,,50,,1.27,,0
549,2020-08-28,6,54,2121,7,,,,,,,,,,,,,,,,,,,50,,1.35,,0
552,2020-08-28,6,42.5,896,4,,,,,,,,,,,,,,,,,,,50,,1.17,,0
555,2020-08-28,6,44,968,5,,,,,,,,,,,,,,,,,,,50,,1.14,,0
558,2020-08-28,6,41,927,4,,,,,,,,,,,,,,,,,,,50,,1.35,,0
561,2020-08-28,4,20.2,71,2,,,,,,,,,,,,,,,,,,,30,,0.86,,0
564,2020-08-28,4,22.1,104,2,,,,,,,,,,,,,,,,,,,30,,0.96,,0
567,2020-08-28,4,18.6,58,,,,,,,,,,,,,,,,,,,,30,,0.9,,0
570,2020-08-28,4,29.3,258,2,,,,,,,,,,,,,,,,,,,30,,1.03,,0
573,2020-08-28,4,26.5,210,2,,,,,,,,,,,,,,,,,,,30,,1.13,,0
576,2020-08-28,4,25.6,175,2,,,,,,,,,,,,,,,,,,,30,,1.04,,0
579,2020-08-28,4,27.6,238,3,,,,,,,,,,,,,,,,,,,30,,1.13,,0
582,2020-08-28,4,25.6,180,2,,,,,,,,,,,,,,,,,,,30,,1.07,,0
585,2020-08-28,4,28.7,258,3,,,,,,,,,,,,,,,,,,,30,,1.09,,0
588,2020-08-28,4,28.7,255,3,,,,,,,,,,,,,,,,,,,30,,1.08,,0
591,2020-08-28,4,34.5,552,3,,,,,,,,,,,,,,,,,,,35,,1.34,,0
594,2020-08-28,4,32.8,455,3,,,,,,,,,,,,,,,,,,,35,,1.29,,0
597,2020-08-28,4,39.2,764,4,,,,,,,,,,,,,,,,,,,35,,1.27,,0
600,2020-08-28,4,25.4,174,2,,,,,,,,,,,,,,,,,,,25,,1.06,,0
603,2020-08-28,4,23.4,134,2,,,,,,,,,,,,,,,,,,,25,,1.05,,0
606,2020-08-28,4,24.2,129,2,,,,,,,,,,,,,,,,,,,25,,0.91,,0
609,2020-08-28,4,25.5,172,2,,,,,,,,,,,,,,,,,,,25,,1.04,,0
612,2020-08-28,4,30.1,328,2,,,,,,,,,,,,,,,,,,,25,,1.2,,0
615,2020-08-28,4,38,664,4,,,,,,,,,,,,,,,,,,,25,,1.21,,0
618,2020-08-28,4,22.5,150,2,,,,,,,,,,,,,,,,,,,25,,1.32,,0
621,2020-08-28,4,39,756,4,,,,,,,,,,,,,,,,,,,25,,1.27,,0
624,2020-08-28,4,36.5,536,3,,,,,,,,,,,,,,,,,,,40,,1.1,,0
627,2020-08-28,4,32,439,3,,,,,,,,,,,,,,,,,,,40,,1.34,,0
630,2020-08-28,4,26,207,2,,,,,,,,,,,,,,,,,,,40,,1.18,,0
633,2020-08-28,4,44,1101,5,,,,,,,,,,,,,,,,,,,40,,1.29,,0
636,2020-08-28,4,18.4,48,1,,,,,,,,,,,,,,,,,,,16.5,,0.77,,0
639,2020-08-28,4,16.4,51,1,,,,,,,,,,,,,,,,,,,16.5,,1.16,,0
642,2020-08-28,4,17.6,45,1,,,,,,,,,,,,,,,,,,,16.5,,0.83,,0
645,2020-08-28,4,16.3,39,1,,,,,,,,,,,,,,,,,,,16.5,,0.9,,0
648,2020-08-28,4,14.5,31,1,,,,,,,,,,,,,,,,,,,16.5,,1.02,,0
651,2020-08-28,0,53.5,1695,6,,,,,,,,,,,,,,,,,,,18.5,,1.11,,0
654,2020-08-28,0,48.2,1309,5,,,,,,,,,,,,,,,,,,,30,,1.17,,0
657,2020-08-28,0,54,1850,7,,,,,,,,,,,,,,,,,,,35,,1.17,,0
660,2020-08-28,0,57.2,2008,7,,,,,,,,,,,,,,,,,,,25,,1.07,,0
663,2020-08-28,0,51.2,1534,6,,,,,,,,,,,,,,,,,,,25,,1.14,,0
666,2020-08-30,12,18.5,58,1,,,,,,,,,,,,,,,,,,,,,0.92,,0
669,2020-08-30,12,26.4,197,2,,,,,,,,,,,,,,,,,,,,,1.07,,0
672,2020-08-30,12,30.5,302,2,,,,,,,,,,,,,,,,,,,,,1.06,,0
675,2020-08-30,12,41.9,828,4,,,,,,,,,,,,,,,,,,,,,1.13,,0
678,2020-08-30,12,39.5,773,4,,,,,,,,,,,,,,,,,,,,,1.25,,0
681,2020-08-30,12,26.2,202,2,,,,,,,,,,,,,,,,,,,,,1.12,,0
684,2020-08-30,12,38.8,697,4,,,,,,,,,,,,,,,,,,,,,1.19,,0
